City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Narsaq,GL,60.9167,-46.05,43.02,70,100,5.08,overcast clouds
325,Westport,US,41.1415,-73.3579,90.36,52,75,1.99,broken clouds
326,Ofaqim,IL,31.3141,34.6203,69.75,72,6,7.43,clear sky
327,Srednekolymsk,RU,67.45,153.6833,45.12,55,17,6.87,few clouds
328,Lodja,CD,-3.4833,23.4333,72.73,87,51,3.83,broken clouds
329,Port Lincoln,AU,-34.7333,135.8667,66.72,44,100,20.13,overcast clouds
330,Russell,US,32.3502,-85.1999,89.38,29,1,1.32,clear sky
331,Sabang,ID,5.8933,95.3214,84.67,74,100,17.05,overcast clouds
332,Karatau,KZ,43.1667,70.4667,66.11,42,99,4.0,overcast clouds
333,Podgornoye,RU,51.735,39.1496,62.82,68,0,7.18,clear sky
334,Moree,AU,-29.4667,149.85,50.02,76,0,8.05,clear sky
335,Nakhon Phanom,TH,17.3333,104.4167,79.3,77,88,4.92,overcast clouds
336,Grenaa,DK,56.4158,10.8783,52.02,75,58,19.13,broken clouds
337,Ratnagiri,IN,16.9833,73.3,82.31,79,13,7.11,few clouds
338,Vostok,RU,46.4856,135.8833,49.48,72,98,4.65,overcast clouds
339,Shahpur,IN,16.7,76.8333,87.1,47,100,11.3,overcast clouds
340,Kuna,US,43.4918,-116.4201,57.85,71,90,4.0,overcast clouds
341,Rio Grande,BR,-32.035,-52.0986,59.11,86,100,29.1,overcast clouds
